rt	x	y	v	z	s
11.215	457.11078	3094.5	27704	1	M+H+3
11.211	476.09271	1033.0	5712	1	M+Na
11.220	477.09287	280.2	710	1	M+Na+1
11.322	221.57700	44.3	332623	2	M+2H
11.321	222.07848	11.1	83630	2	M+2H+1
11.330	222.57979	1.7	13071	2	M+2H+2
11.318	442.14644	100.0	708980	1	M+H
11.319	443.14933	23.6	166801	1	M+H+1
11.319	444.15008	4.4	29225	1	M+H+2
11.324	445.15187	0.6	3710	1	M+H+3
11.318	461.12007	1.1	6324	2	2M+H+K
11.322	461.61715	0.8	3028	2	2M+H+K+1
11.303	462.10630	0.3	902	2	2M+H+K+2
11.347	464.12701	1.7	12892	1	M+Na
11.323	465.12978	0.6	3984	1	M+Na+1
11.359	466.13823	0.3	495	1	M+Na+2
11.321	480.09640	0.5	4191	1	M+K
11.322	221.57700	41075.3	332623	2	M+2H
11.321	222.07848	10262.2	83630	2	M+2H+1
11.330	222.57979	1569.3	13071	2	M+2H+2
11.318	442.14644	92651.7	708980	1	M+H
11.319	443.14933	21853.3	166801	1	M+H+1
11.319	444.15008	4064.5	29225	1	M+H+2
11.324	445.15187	553.9	3710	1	M+H+3
11.318	461.12007	994.8	6324	2	2M+H+K
11.322	461.61715	729.1	3028	2	2M+H+K+1
11.303	462.10630	296.9	902	2	2M+H+K+2
11.347	464.12701	1538.4	12892	1	M+Na
11.323	465.12978	510.7	3984	1	M+Na+1
11.359	466.13823	257.7	495	1	M+Na+2
11.321	480.09640	507.0	4191	1	M+K
13.208	180.10190	100.0	1307993	1	M+H
13.208	181.10486	11.5	148169	1	M+H+1
13.208	182.10579	1.2	14541	1	M+H+2
13.208	202.08361	8.9	113596	1	M+Na
13.211	203.08399	1.5	28942	1	M+Na+1
13.204	359.19652	2.9	29846	1	2M+H
13.206	360.20074	0.7	7064	1	2M+H+1
13.191	361.19851	0.2	1094	1	2M+H+2
13.220	364.20356	0.4	5210	1	2M+Li
13.207	381.17886	6.4	66331	1	2M+Na
13.209	382.18181	1.5	16525	1	2M+Na+1
13.208	180.10190	166304.2	1307993	1	M+H
13.208	181.10486	19198.4	148169	1	M+H+1
13.208	182.10579	2076.1	14541	1	M+H+2
13.208	202.08361	14775.3	113596	1	M+Na
13.211	203.08399	2508.9	28942	1	M+Na+1
13.204	359.19652	4827.1	29846	1	2M+H
13.206	360.20074	1238.8	7064	1	2M+H+1
13.191	361.19851	321.3	1094	1	2M+H+2
13.220	364.20356	712.9	5210	1	2M+Li
13.207	381.17886	10621.5	66331	1	2M+Na
13.209	382.18181	2512.4	16525	1	2M+Na+1
14.163	194.08120	100.0	1269562	1	M+H
14.163	195.08440	11.3	143754	1	M+H+1
14.163	196.08780	1.2	14674	1	M+H+2
14.164	216.06323	7.5	101537	1	M+Na
14.160	217.07113	1.3	11113	1	M+Na+1
14.164	232.03506	4.1	52313	1	M+K
14.171	233.03973	0.6	6416	1	M+K+1
14.154	234.03986	0.4	3422	1	M+K+2
14.161	387.15523	13.4	125927	1	2M+H
14.163	388.15893	2.9	30107	1	2M+H+1
14.159	389.15826	0.6	4905	1	2M+H+2
14.159	409.13522	7.7	70656	1	2M+Na
14.163	410.13690	2.0	18841	1	2M+Na+1
14.163	425.10513	1.4	15081	1	2M+K
14.156	426.10808	0.5	4003	1	2M+K+1
14.157	427.11221	0.2	751	1	2M+K+2
14.163	194.08120	157445.9	1269562	1	M+H
14.163	195.08440	17735.3	143754	1	M+H+1
14.163	196.08780	1925.1	14674	1	M+H+2
14.164	216.06323	11774.5	101537	1	M+Na
14.160	217.07113	2033.2	11113	1	M+Na+1
14.164	232.03506	6389.9	52313	1	M+K
14.171	233.03973	950.9	6416	1	M+K+1
14.154	234.03986	591.0	3422	1	M+K+2
14.161	387.15523	21074.6	125927	1	2M+H
14.163	388.15893	4545.8	30107	1	2M+H+1
14.159	389.15826	896.4	4905	1	2M+H+2
14.159	409.13522	12120.1	70656	1	2M+Na
14.163	410.13690	3114.1	18841	1	2M+Na+1
14.163	425.10513	2229.8	15081	1	2M+K
14.156	426.10808	836.3	4003	1	2M+K+1
14.157	427.11221	305.2	751	1	2M+K+2
15.012	309.12732	100.0	17802306	1	M+H
15.011	310.12944	19.6	3342017	1	M+H+1
15.012	311.12493	6.4	1123271	1	M+H+2
15.013	312.12816	0.9	167248	1	M+H+3
15.014	313.12867	0.1	19197	1	M+H+4
15.009	314.12662	0.0	1766	1	M+H+5
15.034	331.10866	0.5	112671	1	M+Na
15.027	332.11232	0.1	21484	1	M+Na+1
15.052	333.10716	0.1	7913	1	M+Na+2
15.037	347.08392	0.2	41694	1	M+K
15.008	348.08720	0.1	5379	1	M+K+1
15.049	349.08442	0.0	8055	1	M+K+2
15.027	617.24233	4.9	538005	1	2M+H
15.025	618.24756	1.8	196468	1	2M+H+1
15.027	619.24558	0.8	87065	1	2M+H+2
15.026	620.24328	0.2	23164	1	2M+H+3
15.022	621.24433	0.1	6007	1	2M+H+4
15.025	639.22556	1.1	120798	1	2M+Na
15.025	640.22635	0.4	47276	1	2M+Na+1
15.028	641.22395	0.2	26191	1	2M+Na+2
15.021	642.22120	0.1	7676	1	2M+Na+3
15.025	655.19804	0.4	32080	1	2M+K
15.021	656.19955	0.1	11326	1	2M+K+1
15.023	657.19925	0.1	6486	1	2M+K+2
15.012	309.12732	1519914.1	17802306	1	M+H
15.011	310.12944	298359.3	3342017	1	M+H+1
15.012	311.12493	97487.8	1123271	1	M+H+2
15.013	312.12816	14107.8	167248	1	M+H+3
15.014	313.12867	2126.3	19197	1	M+H+4
15.009	314.12662	444.7	1766	1	M+H+5
15.034	331.10866	7540.9	112671	1	M+Na
